data;mun_id;drs_desc;mun_desc;obitos_novos
08/05/2021;3503208;DRS 03 - Araraquara;Araraquara;0
09/05/2021;3503208;DRS 03 - Araraquara;Araraquara;3
10/05/2021;3503208;DRS 03 - Araraquara;Araraquara;1
11/05/2021;3503208;DRS 03 - Araraquara;Araraquara;2
12/05/2021;3503208;DRS 03 - Araraquara;Araraquara;3
13/05/2021;3503208;DRS 03 - Araraquara;Araraquara;5
14/05/2021;3503208;DRS 03 - Araraquara;Araraquara;0
15/05/2021;3503208;DRS 03 - Araraquara;Araraquara;4
16/05/2021;3503208;DRS 03 - Araraquara;Araraquara;2
17/05/2021;3503208;DRS 03 - Araraquara;Araraquara;0
18/05/2021;3503208;DRS 03 - Araraquara;Araraquara;0
19/05/2021;3503208;DRS 03 - Araraquara;Araraquara;2
20/05/2021;3503208;DRS 03 - Araraquara;Araraquara;2
21/05/2021;3503208;DRS 03 - Araraquara;Araraquara;2
22/05/2021;3503208;DRS 03 - Araraquara;Araraquara;1
23/05/2021;3503208;DRS 03 - Araraquara;Araraquara;1
24/05/2021;3503208;DRS 03 - Araraquara;Araraquara;2
25/05/2021;3503208;DRS 03 - Araraquara;Araraquara;0
26/05/2021;3503208;DRS 03 - Araraquara;Araraquara;2
27/05/2021;3503208;DRS 03 - Araraquara;Araraquara;0
28/05/2021;3503208;DRS 03 - Araraquara;Araraquara;4
29/05/2021;3503208;DRS 03 - Araraquara;Araraquara;1
30/05/2021;3503208;DRS 03 - Araraquara;Araraquara;1
31/05/2021;3503208;DRS 03 - Araraquara;Araraquara;3
01/06/2021;3503208;DRS 03 - Araraquara;Araraquara;1
02/06/2021;3503208;DRS 03 - Araraquara;Araraquara;2
03/06/2021;3503208;DRS 03 - Araraquara;Araraquara;2
04/06/2021;3503208;DRS 03 - Araraquara;Araraquara;3
05/06/2021;3503208;DRS 03 - Araraquara;Araraquara;0
06/06/2021;3503208;DRS 03 - Araraquara;Araraquara;2
07/06/2021;3503208;DRS 03 - Araraquara;Araraquara;1
08/06/2021;3503208;DRS 03 - Araraquara;Araraquara;0
09/06/2021;3503208;DRS 03 - Araraquara;Araraquara;2
10/06/2021;3503208;DRS 03 - Araraquara;Araraquara;3
11/06/2021;3503208;DRS 03 - Araraquara;Araraquara;3
12/06/2021;3503208;DRS 03 - Araraquara;Araraquara;4
13/06/2021;3503208;DRS 03 - Araraquara;Araraquara;3
14/06/2021;3503208;DRS 03 - Araraquara;Araraquara;3
15/06/2021;3503208;DRS 03 - Araraquara;Araraquara;4
16/06/2021;3503208;DRS 03 - Araraquara;Araraquara;0
17/06/2021;3503208;DRS 03 - Araraquara;Araraquara;4
18/06/2021;3503208;DRS 03 - Araraquara;Araraquara;4
19/06/2021;3503208;DRS 03 - Araraquara;Araraquara;1
20/06/2021;3503208;DRS 03 - Araraquara;Araraquara;3
21/06/2021;3503208;DRS 03 - Araraquara;Araraquara;2
22/06/2021;3503208;DRS 03 - Araraquara;Araraquara;1
23/06/2021;3503208;DRS 03 - Araraquara;Araraquara;4
24/06/2021;3503208;DRS 03 - Araraquara;Araraquara;2
25/06/2021;3503208;DRS 03 - Araraquara;Araraquara;2
26/06/2021;3503208;DRS 03 - Araraquara;Araraquara;1
27/06/2021;3503208;DRS 03 - Araraquara;Araraquara;2
28/06/2021;3503208;DRS 03 - Araraquara;Araraquara;1
29/06/2021;3503208;DRS 03 - Araraquara;Araraquara;3
30/06/2021;3503208;DRS 03 - Araraquara;Araraquara;4
01/07/2021;3503208;DRS 03 - Araraquara;Araraquara;3
02/07/2021;3503208;DRS 03 - Araraquara;Araraquara;4
03/07/2021;3503208;DRS 03 - Araraquara;Araraquara;0
04/07/2021;3503208;DRS 03 - Araraquara;Araraquara;3
05/07/2021;3503208;DRS 03 - Araraquara;Araraquara;2
06/07/2021;3503208;DRS 03 - Araraquara;Araraquara;3
