Data;Município1;DATA_DIA;DIA;STR_DATA;UF1;Escala de cor;Número de registros;Índice De Isolamento
quinta-feira, 01/04;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (1/4/2021);SP;>40-50%;1;43%
sexta-feira, 02/04;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (2/4/2021);SP;>40-50%;1;47%
sábado, 03/04;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (3/4/2021);SP;>40-50%;1;47%
domingo, 04/04;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (4/4/2021);SP;>50-60%;1;51%
segunda-feira, 05/04;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (5/4/2021);SP;>40-50%;1;43%
terça-feira, 06/04;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (6/4/2021);SP;>40-50%;1;42%
quarta-feira, 07/04;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (7/4/2021);SP;>40-50%;1;44%
quinta-feira, 08/04;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (8/4/2021);SP;>40-50%;1;42%
sexta-feira, 09/04;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (9/4/2021);SP;>40-50%;1;41%
sábado, 10/04;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (10/4/2021);SP;>40-50%;1;44%
domingo, 11/04;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (11/4/2021);SP;>40-50%;1;50%
segunda-feira, 12/04;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (12/4/2021);SP;>40-50%;1;41%
terça-feira, 13/04;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (13/4/2021);SP;>40-50%;1;43%
quarta-feira, 14/04;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (14/4/2021);SP;>40-50%;1;42%
quinta-feira, 15/04;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (15/4/2021);SP;>40-50%;1;43%
sexta-feira, 16/04;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (16/4/2021);SP;>40-50%;1;43%
sábado, 17/04;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (17/4/2021);SP;>40-50%;1;44%
domingo, 18/04;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (18/4/2021);SP;>40-50%;1;50%
segunda-feira, 19/04;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (19/4/2021);SP;>40-50%;1;41%
terça-feira, 20/04;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (20/4/2021);SP;>40-50%;1;43%
quarta-feira, 21/04;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (21/4/2021);SP;>40-50%;1;48%
quinta-feira, 22/04;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (22/4/2021);SP;>40-50%;1;41%
sexta-feira, 23/04;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (23/4/2021);SP;>40-50%;1;43%
sábado, 24/04;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (24/4/2021);SP;>40-50%;1;44%
domingo, 25/04;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (25/4/2021);SP;>40-50%;1;49%
segunda-feira, 26/04;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (26/4/2021);SP;>40-50%;1;42%
terça-feira, 27/04;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (27/4/2021);SP;>40-50%;1;41%
quarta-feira, 28/04;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (28/4/2021);SP;>40-50%;1;41%
quinta-feira, 29/04;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (29/4/2021);SP;>40-50%;1;41%
sexta-feira, 30/04;ESTADO DE SÃO PAULO;Friday;Sexta-feira;Ranking dos municípios (30/4/2021);SP;>40-50%;1;42%
sábado, 01/05;ESTADO DE SÃO PAULO;Saturday;Sábado;Ranking dos municípios (1/5/2021);SP;>40-50%;1;44%
domingo, 02/05;ESTADO DE SÃO PAULO;Sunday;Domingo;Ranking dos municípios (2/5/2021);SP;>40-50%;1;48%
segunda-feira, 03/05;ESTADO DE SÃO PAULO;Monday;Segunda-feira;Ranking dos municípios (3/5/2021);SP;>40-50%;1;40%
terça-feira, 04/05;ESTADO DE SÃO PAULO;Tuesday;Terça-feira;Ranking dos municípios (4/5/2021);SP;>40-50%;1;41%
quarta-feira, 05/05;ESTADO DE SÃO PAULO;Wednesday;Quarta-feira;Ranking dos municípios (5/5/2021);SP;>40-50%;1;40%
quinta-feira, 06/05;ESTADO DE SÃO PAULO;Thursday;Quinta-feira;Ranking dos municípios (6/5/2021);SP;Até 40%;1;40%
