t_start;t_end;Mean(R);Std(R);Quantile.0.025(R);Quantile.0.05(R);Quantile.0.25(R);Median(R);Quantile.0.75(R);Quantile.0.95(R);Quantile.0.975(R)
176;182;0,336866011;0,101568924;0,168162299;0,188920807;0,263974628;0,32671478;0,398715606;0,519454103;0,563189625
177;183;0,348335926;0,110153492;0,167040616;0,188986372;0,269120392;0,336796065;0,415002058;0,54706911;0,595125082
178;184;0,455907303;0,137461224;0,227587283;0,255681407;0,357257654;0,442168843;0,539613231;0,703018148;0,762208875
179;185;0,353234395;0,133510052;0,142018547;0,165783786;0,256481319;0,336563602;0,431877835;0,597591638;0,659007915
180;186;0,427906022;0,161733274;0,172040414;0,200829481;0,310699928;0,407711124;0,523174212;0,723918917;0,798318226
181;187;1,627123046;0,346903799;1,01970935;1,101542964;1,381691168;1,602537179;1,845782327;2,236587372;2,374174489
182;188;1,833468371;0,4000956;1,134945819;1,228600585;1,550149925;1,804449256;2,085188326;2,537347254;2,696803044
183;189;1,916872498;0,40867859;1,201293789;1,2976999;1,627735411;1,88790851;2,174469466;2,634867003;2,796954905
184;190;1,680789046;0,358345429;1,053341547;1,137874209;1,427262299;1,655392284;1,906660179;2,31035481;2,452479845
185;191;1,518320692;0,316591749;0,962485076;1,037706023;1,294523853;1,496373642;1,718217311;2,073815494;2,198809871
186;192;1,34959139;0,281409258;0,855525172;0,922386898;1,150664847;1,330083292;1,527273718;1,843354668;1,954458558
187;193;1,289522395;0,263222657;0,826221331;0,889181502;1,10360085;1,271657259;1,45598805;1,750815959;1,854295212
188;194;0,30240173;0,123454989;0,110976105;0,131696696;0,212649369;0,285777758;0,374106312;0,52985999;0,5880873
189;195;0,438529721;0,146176574;0,200523713;0,228777425;0,333167848;0,422399194;0,526354795;0,70333588;0,768069664
190;196;0,468450591;0,156150197;0,21420544;0,244386902;0,35589988;0,451219478;0,562267966;0,751324465;0,820475033
191;197;0,601565559;0,190231733;0,288474068;0,326373721;0,46476274;0,581636572;0,716695945;0,94477173;1,027762935
192;198;0,567699434;0,20071206;0,245092321;0,282488855;0,422660024;0,544228571;0,687230686;0,933022095;1,02346808
193;199;0,658015844;0,232643733;0,284084537;0,327430558;0,489901831;0,630810956;0,796563557;1,0814584;1,186293613
194;200;0,655244673;0,247659207;0,263442342;0,307526515;0,475769123;0,624320595;0,801127111;1,108523809;1,222450112
195;201;1,050103412;0,332071856;0,503565403;0,569723703;0,811298006;1,015315021;1,251077036;1,649210135;1,79408104
196;202;0,811827006;0,306841767;0,326396561;0,381015429;0,589462591;0,773513071;0,99257064;1,37342523;1,514576242
197;203;1,592312394;0,441627999;0,847839288;0,941862371;1,276509757;1,551675242;1,863897528;2,381434163;2,567491667
198;204;1,639675281;0,4547641;0,87305803;0,969877803;1,314479183;1,597829388;1,919338639;2,452269256;2,643860988
199;205;1,939002234;0,484750559;1,108307313;1,216233908;1,593866298;1,898759399;2,240334217;2,799086638;2,998208729
200;206;1,756935484;0,439233871;1,004240434;1,102033031;1,444206823;1,720471336;2,029973258;2,536260429;2,716685526
201;207;1,74009082;0,41014334;1,031288101;1,124708137;1,448772501;1,707975164;1,996445617;2,465054232;2,631273192
202;208;1,281442627;0,330867064;0,717213711;0,789909469;1,045554996;1,253081376;1,486462449;1,869751734;2,006706787
203;209;1,842327199;0,376063465;1,180413799;1,270364339;1,576703027;1,816803466;2,080154944;2,501372503;2,649212233
204;210;1,777916701;0,35558334;1,150573946;1,236158873;1,526948959;1,754268159;2,00312914;2,400358459;2,539583156
205;211;1,544656845;0,315301758;0,989690786;1,065107747;1,321950369;1,523257058;1,744058045;2,097218214;2,221171033
206;212;1,199526238;0,261758085;0,742525647;0,803798233;1,014168303;1,180540805;1,364211211;1,660031148;1,764353321
207;213;1,088934853;0,237625066;0,674067837;0,729691343;0,920666158;1,071699799;1,23843655;1,506983106;1,601687203
208;214;1,132295568;0,236099947;0,71777826;0,773874674;0,965397909;1,115928441;1,281369513;1,546558711;1,639773919
209;215;1,110575558;0,231571012;0,704009638;0,759029994;0,946879377;1,09452239;1,256789925;1,516892191;1,608319318
210;216;0,905911744;0,207830407;0,545418048;0,593226874;0,758452325;0,890069081;1,036122419;1,27265201;1,356376848
211;217;0,990579421;0,216162151;0,613184274;0,663783721;0,837509193;0,974901082;1,126577735;1,370868467;1,457018643
212;218;1,616463895;0,277221271;1,119448238;1,189057369;1,421865391;1,600644128;1,793828914;2,097841243;2,203348177
213;219;1,911201549;0,302187498;1,365390406;1,442753588;1,699643687;1,89529868;2,105433564;2,433902605;2,547358547
214;220;1,790478502;0,283099508;1,279144092;1,351620547;1,592283914;1,775580154;1,972441648;2,280162599;2,386451977
215;221;1,414368035;0,235728006;0,990605983;1,050214095;1,249054283;1,401293811;1,565438639;1,823125708;1,912403454
216;222;1,722487841;0,243596567;1,278463676;1,342325562;1,552533751;1,711018299;1,879944607;2,141777785;2,231675869
217;223;1,625460562;0,225410823;1,213971695;1,273294634;1,468285043;1,615052901;1,771295585;2,013131467;2,096080826
218;224;1,528219167;0,207964287;1,148045273;1,20297595;1,383288141;1,518796138;1,662882407;1,885608243;1,961930736
219;225;1,197734322;0,174707507;0,880050129;0,925565351;1,075730294;1,189250545;1,310494627;1,498845382;1,563618042
220;226;0,954454504;0,14906075;0,684933031;0,723200544;0,850139898;0,946706027;1,050327181;1,212142533;1,267996229
221;227;0,90586103;0,141471725;0,650061515;0,686380741;0,80685732;0,898507046;0,996852609;1,150429569;1,203439625
222;228;0,898936522;0,140390298;0,645092368;0,681133966;0,800689608;0,891638752;0,98923255;1,14163555;1,194240391
223;229;0,625732137;0,118252259;0,415794461;0,444731045;0,542442776;0,618298916;0,700925242;0,832093279;0,877892857
224;230;1,245954457;0,169552926;0,935999335;0,980784222;1,127792441;1,238271878;1,355745165;1,537333156;1,599558753
225;231;1,166046165;0,168304267;0,859750393;0,903692277;1,048551025;1,157958695;1,274729295;1,455990094;1,51829016
226;232;1,347945528;0,181756938;1,015457044;1,063548968;1,221311829;1,339785022;1,465687076;1,660180909;1,726798765
227;233;1,493677356;0,188185658;1,147782692;1,198192302;1,36281264;1,485781778;1,615938127;1,816097129;1,88443288
228;234;1,41158677;0,177843217;1,084702032;1,132341194;1,28791421;1,404125123;1,527128247;1,716286768;1,780866874
229;235;1,411304733;0,171145838;1,095933348;1,142077995;1,292411235;1,404392634;1,522665791;1,704111041;1,765949666
230;236;1,593404482;0,174898864;1,269137776;1,317041561;1,472211048;1,587009856;1,70762895;1,891581392;1,954005761
231;237;1,227569715;0,147782027;0,955122511;0,995016118;1,124926575;1,221644546;1,323755886;1,480336094;1,533682959
